No,URL,Title,Topic,Tags,NSMI-TLT,Body
128,http://www.communitylegalaid.org/node/153,Representing Yourself in Court,Pro Se,,Attorneys / Legal Services,"Representing Yourself in Court

The Court is a very traditional place. When you are representing yourself in Court, you are trying to persuade a judge that you are right. So you must act, dress and speak in a way that helps you with your case. Here are some tips:

BE ON TIME

What will happen if you are late?


	Your case can be dismissed
	The judge may make a decision without hearing your side


What to do if you are late?


	Call the Court ask to speak with the clerk of the Judge assigned to your case. Ask the secretary to tell the Judge why you are late &amp; when you expect to arrive.
	The message may not get to the judge on time. The judge may decide you do not have a good reason to be late. So try not to be late.


DRESS NEATLY


	You do not need fancy clothes; just make sure you are neat and clean.
	Tank tops, shorts, or ripped jeans are not acceptable. T‑shirts or hats with messages such as “Legalize Marijuana” or “Where’s the Beef,” while funny, are not acceptable for court
	Do not wear hats
	There will be a security check so leave concealed-carry weapon, etc. at home.


BE RESPECTFUL


	How you act is as important as how you look. Just like an attorney, you must be respectful to everyone in the Court including the judge, court staff and the other party involved in your case.
	Do not speak while others are speaking. Do not argue with the other side. If you disagree with what the other side is saying, wait until he or she is done and then tell the Judge.
	Speak to the judge only when you are told it is your turn. Address the judge as “your honor.” Never interrupt the Judge.
	Try to control your emotions as much as possible, especially anger.


DO NOT BRING CHILDREN WITH YOU TO COURT


	In a custody or visitation case you may be requested to bring your child if the Judge, Magistrate or your lawyer requests it. In all other cases, find someone to look after your child.


NO CELL PHONES IN THE COURT


	Turn your phone off when you enter the court. Ringing phones are very distracting. It may make the judge mad which will not help your case!


What to Expect When You Arrive at the Courthouse

Check in at the clerk’s office to find out which courtroom to go to. Go into the courtroom. Sit quietly until your case is called. You may have to wait, be patient.


	If you are late, go up and let the clerk or bailiff know that you have arrived.
	When your case is called, walk to the table or podium for lawyers in front and stand facing the judge. The judge will tell you when to speak.
	When the judge asks you to present your case, tell the judge what it is that you are requesting and why you are requesting it. After you are finished, the other side will have a chance to ask you questions.
	Next, the other side will present his/her case. Don’t forget, if you disagree with something the other side says, do not interrupt. You will have an opportunity to ask the other side questions when he/she is finished talking.
	During the hearing the judge may ask you questions.
	If you don’t understand the question, say so. Don’t answer until you fully understand the question.
	If you don’t know the answer, say so. Don’t be afraid to admit that you don’t know something.
	Decisions are not always given right away. In most cases, you will receive the judge’s decision in the mail within two weeks.


WARNINGS

Do not try to talk to the judge about your case before your case is called.

The law prevents the judge from talking to one party if the other party is not present (unless the case is currently before the court). This one-sided conversation is called an ‘ex parte communication’ and it is illegal.

Any letter, motion or request you send to the court will be ignored by the judge (because it is an ex parte communication) unless you send a copy of that letter or request to the opposing party as well.

For example: If you write to the judge requesting that the court date for your hearing be changed, you must send a copy of this letter to the opposing side or their attorney, if they have one, and let the judge know that you have done this. Otherwise the judge will not even read your letter.

Do not ask court staff for legal advice.

Court staff are not attorneys and cannot provide legal advice. More importantly, they are employees of the court and must treat both sides in a case fairly. It is unfair and illegal for them to help one party and not the other.

Court staff can answer questions about court procedure, court rules, and the meaning of certain legal terms.

This article is meant to give you general information and not to give you specific legal advice.Prepared by Community Legal Aid Services, Inc. Updated May, 2012. CE-SH-F277-CLAS
"
129,http://www.communitylegalaid.org/node/155,A Guide to Self-Advocacy-DNP,,,Attorneys / Legal Services,"What is self-advocacy?

Self-advocacy means speaking up for yourself and taking charge of your life so you can handle your own problems and make sure you get the results you need.

Why would you want to be a self-advocate?

Many people face serious legal problems such as eviction, credit problems, problems with Medicaid or Medicare and utility shut-offs. As a self-advocate, you will know what needs to be done to take care of these legal problems and many other problems before they become too serious.

How can you become a self-advocate?

You can become a self-advocate by following a four-step process. The steps are easy to follow and will bring you success as you take control of your life and take charge of getting what you need. The four steps to self-advocacy are:

Step 1: Be Organized

Step 2: Develop a Plan of Action

Step 3: Take Action

Step 4: Ask for Assistance When Needed

Step 1: Be Organized

Keep all important papers.

Be sure to keep:


	Documents from a court or a lawyer
	All pieces of paper sent to you by a welfare agency
	All rent receipts with landlord’s name, signature and amount paid
	Any contract you’ve signed
	Bank agreements
	Records of money you paid, receipts, band statements, cancelled checks
	Pay stubs
	Tax returns
	Marriage licenses
	Birth certificates and social security cards for yourself and your children
	Copies of letters sent by you to anyone


Keep a record of all important phone calls.

Make sure to write down the:


	Name of the person (very important!)
	Date
	Name of the organization
	What the person told you to do
	What the person promised to do and by when.


Keep your papers and records organized.

Use a folder to get organized:


	Group your papers and records under names like House or Medical.
	Within each group, organize your papers by date. Start with the most recent.


Step 2: Develop a Plan for Action

Focus on the problem and what you need to happen. Take some time when you can work without interruptions.

Write down the possible solutions to the problem that will get you the results you need.

Write down all ideas without judging.

Choose the option that works best for you to get the results you need.

Keep your list of alternative ideas or solutions to use in case your first plan does not work.

Step 3: Take Action

Be prepared! Before you call someone or meet with someone about your problem:


	Focus on why you are taking action and what you need from the person you are contacting.
	Have the important papers and records with you that the person you are contacting will need in order to help you resolve your problem.
	Know what your next step will be if the person you contact cannot get you the results you need. (refer to your Action Plan)
	Ask the name of people you are speaking with.


Be Calm! Don’t let your emotions get in the way of getting what you need. Don’t accuse, insult or yell. You will be able to convince the person you are contacting to help you get what you need if you are willing to listen and remain calm while explaining your problem. (Remember, you can get more bees with honey than vinegar.)

Don’t give up! Speak up and ask questions. Make sure you will get what you need. If you are not getting what you need, ask to speak to a supervisor. If the supervisor is not helping you, speak to the supervisor’s supervisor.

Step 4: Ask for Assistance When Needed

Think of your support networks—family, friends, church and community organizations.

Community Legal Aid Services, Inc.

which provides legal information and advice. Take action immediately. Call Community Legal Aid Services, Inc. at (800) 998-9454 when:


	You receive any legal papers either from a lawyer or the court;
	Your benefits are terminated or reduced;
	You receive a utility shut off notice;
	You are threatened with eviction, either a 3 day notice or a termination notice
	You have lost your Medicaid or Medicare or are in fear of losing medical insurance; or
	You have a question or you do not understand the law or how to handle your legal problem.


This article is meant to give you general information and not to give you specific legal advice.Prepared by Community Legal Aid Services, Inc. Updated May 2012. CE-SH-F271-CLAS
"
130,http://www.communitylegalaid.org/node/157,If You are Being Sued and Can't Afford a Lawyer: Filing an Answer,"Pro Se
Representing Yourself",,Attorneys / Legal Services,"What is an ‘Answer’?

If you disagree with a plaintiff’s statement in their complaint that you owe money, you must file what is known as an ‘Answer.’&nbsp; An Answer is your written response to a plaintiff’s statement that you owe him money.&nbsp; It must be filed in Court.

What is a ‘Counterclaim’?&nbsp;

If you feel the plaintiff owes you money, you must file a ‘Counterclaim.”&nbsp; A Counterclaim is your written statement that the plaintiff owes you money.&nbsp; If you want to file both an Answer and a Counterclaim, you can write them out on the same paper.&nbsp; This will be your ‘Answer and Counterclaim.’

It is very important that you file your Answer and any Counterclaim you may have on time.&nbsp; If you do not file on time, the plaintiff may be able to get a ‘Default Judgment’ against you winning the case.&nbsp; The plaintiff could garnish your wages or put a lien on your&nbsp; property.

When to File

You have twenty-eight (28) days from the date you received the court papers to file your Answer and/or Counterclaim.&nbsp; If the last day of the 28-day period falls on a Saturday, Sunday or national holiday, you have until the next business day to file.&nbsp; If you don’t remember when you received your papers, call the Clerk of Courts (the phone number is located on the Summons).&nbsp; Tell them your case number and that you need to know the date your complaint was served.&nbsp; Your case number is at the top, right-hand side of the papers you received.

Where to File

After you have completed your Answer and/or Counterclaim, you must file it at the Clerk of Courts office within the 28 days.&nbsp; It will not cost you any money to file an Answer.&nbsp; You can call the clerk to find out the cost to file a counterclaim.

You should make at least two copies of your Answer and/or Counterclaim.&nbsp; Take the Answer and/or Counterclaim and copies to the Clerk of Courts.&nbsp; Ask them to ‘time-stamp’ them for you.&nbsp; The clerk will keep the original for the court and give you back the copies.&nbsp; One copy is for your records.&nbsp; You must send the other copy to the attorney representing the plaintiff, or, if the person does not have an attorney, to the person who signed the complaint.&nbsp; (Note:&nbsp; be sure that you state in the Answer and/or Counterclaim that you are sending a copy to either the attorney or the plaintiff.)

If you cannot file your Answer and Counterclaim within the 28 days, then you are entitled to request a “Leave to Plead.”&nbsp; The “Leave to Plead” must be filed by the last day you would have had to file your Answer and Counterclaim.&nbsp; It must be filed within 28 days from the day you received the court papers.&nbsp; The “Leave to Plead” is a written statement by you to the court that you will file your Answer and/or Counterclaim within 30 additional days.&nbsp; If you file a “Leave to Plead,” your Answer and/or Counterclaim must be filed by the end of the 30-day extension you requested in your “Leave to Plead.”

Remember, if you do not file your answer and/or Counterclaim on time, the plaintiff or his attorney will probably try to get a “default judgment” against you.&nbsp; A “default judgment” is a decision by the court in favor of the plaintiff because you did not file your answer on time.&nbsp; You may not receive a copy of the default judgment if you have not filed a written response with the court.&nbsp; The court will normally give the plaintiff a judgment for the amount of money in the plaintiff’s complaint.&nbsp; Therefore, it is very important that you file your Answer and/or Counterclaim with the Clerk of Courts on time.

What to File with the Court: &nbsp;the Answer and/or Counterclaim

Your Answer and/or Counterclaim is your response to the plaintiff’s Complaint.&nbsp; In the Answer, you are telling the court why you do not owe either any money or the entire amount of money the plaintiff is asking for in his complaint.&nbsp; If there are reasons why the plaintiff owes you money, then you should also file a Counterclaim.&nbsp; Be sure to put the case name and case number on your Answer and/or Counterclaim.

Your Answer will generally contain the following information:

1) A heading to identify your case naming the plaintiff and defendant including the case number as well as the name of the court where the case is filed.

2) A statement that you admit or deny that you owe either any money to the plaintiff or that you owe the entire amount of money the plaintiff is requesting.

3) Any reason you may have that you do not owe either all or part of the money.

Your Counterclaim is your claim against the plaintiff.&nbsp; Your claims may include any reason that you feel the plaintiff owes you money or services.

For each of the claims in your Counterclaim, you must state the amount of money your claim is worth.&nbsp; Be reasonable.

Preparing for the Trail

After you have filed your Answer and/or Counterclaim, the court should send you a notice of the time and the place of your trial.&nbsp; If you move after filing your answer/counterclaim, you should give the court your new address in writing.&nbsp; You must appear on time for the trial or the court may dismiss your case against the plaintiff and give the plaintiff everything he is asking for in his case against you.

If you can, try to bring to the trial witnesses who have ‘personal knowledge’ of the facts about the claims you are making against the plaintiff.&nbsp; Personal knowledge means that the witness has actually seen the things or actually heard the conversations that they are testifying about at the trial.&nbsp; You might have to subpoena your witnesses.&nbsp; A “subpoena” is a court order that the person has to come to court.&nbsp; Be careful not to subpoena someone who will actually try to hurt your case.&nbsp; If you need them to bring documents they have in their possession, you must describe in your subpoena what you want them to bring with them.&nbsp; Subpoenas can be obtained at the office of the Clerk of Courts.

You will often need physical documents such as:


	Copies of receipts for money you have spent
	Copies of any agreements you have made in writing
	Copies of bills you have received
	Copies of letters you sent or received about the dispute


You should take the original documents with you to court, along with copies.&nbsp; The court will keep a copy for the court file.

Getting an Attorney to Represent You.

It is always&nbsp; better to be represented by an attorney.&nbsp; This handout does provide some basic information that you should find useful if you are unable to get an attorney and you have no other choice but to represent yourself.

This article is meant to give you general information and not to give you specific legal advice.Prepared by Community Legal Aid Services, Inc. Updated May 2012. CE-SH-F275-CLAS
"
142,http://www.communitylegalaid.org/node/175,How to File a Pro Se Response to a Foreclosure Complaint,"Pro Se
Foreclosure
Representing Yourself",,Attorneys / Legal Services,"Community Legal Aid can provide you with an Answer and Request for Mediation that you may complete and file on your own in order to respond to the Foreclosure Complaint filed against you. Pro se means that you are representing yourself. In other words, an attorney is not filing the document on your behalf.

Please carefully review the ‘Instructions for Filing a Pro Se Answer to a Foreclosure Complaint’ before completing the ‘Pro Se Answer to a Foreclosure Complaint.’

Remember: As a named party in a foreclosure care, you are responsible for all court deadlines. A Legal Aid attorney is NOT representing you in this matter.

Please download and carefully read both documents below.

These materials are meant for your general information and not to give you specific legal advice.
Prepared by Community Legal Aid Services, Inc.
CE-67-F336-CLAS, CE-67-F337-CLAS
"
149,http://www.communitylegalaid.org/node/183,Karen Bovard 2015 Mahoning County Pro Bono Attorney of the Year,,,Attorneys / Legal Services,"Attorney Karen Bovard is the 2015&nbsp;Mahoning County Pro Bono Attorney of the Year. Attorney Bovard received the award at the annual Mahoning County Bar Association Opening of Courts Luncheon on September 14, 2015. Attorney Bovard is with the firm Johnson and Johnson of Canfield, Ohio. Her practice, among other things, includes Elder Law and Estate Planning. She uses her experience and knowledge in these areas at the pro bono will clinic where she helps clients complete will, living wills, POAs, and other advanced directives. Community Legal Aid is grateful to have dedicated volunteers such as Attorney Bovard who help make access to justice a reality in the Mahoning Valley.
"
150,http://www.communitylegalaid.org/node/185,Opportunities for Attorneys,,,Attorneys / Legal Services,"We could not accomplish our mission without the help of dedicated attorneys who offer their service pro bono. We believe ""one size does not fit all"" when it comes to volunteering your professional services. Therefore, we have designed a wide range of opportunites to support the pro bono efforts of local attorneys.

&nbsp;

Pro Bono Representation Programs

By far the most common form of pro bono service, these programs allow you to use your professional expertise to meet a variety of legal needs. The length and scope of commitment varies per case situation.

&nbsp;

Direct Pro Bono Work

Provide full legal representation for low income residents who might not otherwise have access to the assistance they need. Cases are referred in accordance to your designated practice expertise. Learn more...

&nbsp;

Reduced Fee Divorce Program

Assist families seeking a relatively simple divorce. Cases are prescreened for complexity and qualifying referrals include a modest attorney fee. Learn more....

&nbsp;

Jerome L. Holub Bankruptcy Project

Offer a financial fresh start to low income residents needing a Chapter 7 bankruptcy. ""Up front"" work is completed by law students or VLSP paralegal under the supervision of staff attorneys. By the time the matter is referred to you, the case is almost ready to file and the filing fee is in escrow. Learn more...

&nbsp;

Limited Service Programs

Designed for those who want to help but face significant time constraints. These short-term opportunities allow you to make a big impact with a limited investment.

&nbsp;

Counsel and Advice Clinic

Provide brief advice at various clinic locations. Offer guidance in matters related to your practice expertise and make referrals as appropriate. Learn more...

&nbsp;

Pro Bono Helpline

Offer advice and counsel over the phone instead of ""in person"". Make referral for additional Legal Aid services as appropriate. Flexible hours and convenience make this an ideal service opportunity. Learn more...

&nbsp;

Pro Se Clinic (Divorce or Custody)

Assist clients with simple divorce or agreed upon custody related matters. Provide classroom instruction on document preparation, filing requirements, and case related expectations. VLSP support staff takes over at the completion of class to ensure participants' success.

&nbsp;
Peace of Mind Workshop (Bankruptcy By-Pass Program)


Protect clients from harassment by explaining their options to manage debt related issues. Assist clients who need to communicate their ""uncollectable"" status to creditors. Learn more...

&nbsp;

Estate Planning Clinic (Will Clinic)

Educate participants on a variety of topics including wills; durable power of attorney; advance directives; and, transfer of property. Assist in necessary document preparation or review as needed. Learn more...

&nbsp;

Non-Traditional Programs

We recognize not all pro bono work looks the same. Here are additional opportunities to use your professional skills for public good.

&nbsp;

Mentoring Program

Support the pro bono efforts of less experienced attorneys, or those expanding their practice area.

&nbsp;

Community Education

Share your legal knowledge with others. Lead a CLE class or participate in a public awareness campaign on a variety of legal issues.

&nbsp;

Apply now to join our team of Volunteer Legal Professionals. Not only will you help change the lives of Ohio residents, your own life may be changed as well! Learn more about the supports available for pro bono service here.
"
151,http://www.communitylegalaid.org/node/186,Pro Bono Supports,,,Attorneys / Legal Services,"We not only want to benefit the clients we serve. We hope to make a difference in the lives of the attorneys who choose to volunteer through our program. Therefore, we offer the following pro bono supports and professional development opportunities.

&nbsp;

Free CLE Opportunities

Attend a Legal Aid sponsored CLE to support your professional development and obtain your reporting requirements. Classes cover topics in a variety of practice areas. See upcoming CLE classes here.

Ohio attorneys can also receive one credit hour of continuing legal education for every six hours of pro bono service (six hour maximum per compliance period. The VLSP tracks the time you spend on referred cases so you can obtain CLE credit.

&nbsp;

Malpractice Insurance

Don't let the need for malpractice insurance stop you from getting involved. Referred matters are covered under our malpractice insurance.

&nbsp;

Case Match System

The VLSP team sends out weekly V-Blast emails describing the cases that are available for placement. This allows you to select matters that pertain to your area of expertise and interest. When contacted through other means, we ensure referred matters meet your designated practice area.

&nbsp;

Sample Pleadings and Forms

We provide sample pleadings and forms that can be used as models. Learn more...

&nbsp;

Case Support

When you participate in a VLSP referred matter, we are available to offer support throughout the duration of the case. This might include research assistance, mentoring, or working with unique client needs to ensure the best possible outcome. To the extent possible, we may be able to reimburse extraordinary litigation expenses with prior approval.

Assistance is also available through Ohio State's Pro Bono Research Group.

&nbsp;

Recognition and Networking Events

We love to recognize the pro bono efforts of attorneys who volunteer. Participants are encouraged to attend celebration events throughout the year.

&nbsp;

&nbsp;

Attorney&nbsp; Volunteer Application

&nbsp;

&nbsp;

&nbsp;

&nbsp;

&nbsp;

&nbsp;

&nbsp;
"
152,http://www.communitylegalaid.org/node/187,Need for Pro Bono Volunteers,,,Attorneys / Legal Services,"Abundant Need, Limited Resources

&nbsp;

Research shows that 40% of low-income households will face at least one legal issue each year, yet there is only one Legal Aid attorney for every 6,415 low-income individuals. We need the pro bono involvement of local attorneys in order to meet this great need.

&nbsp;

Access to Justice

&nbsp;

No one wants to navigate the complex legal system alone. Attorneys are uniquely trained to offer legal counsel and assistance. Unrepresented litigants are more likely to have a negative experience with the legal system. For low-income residents, legal representation is the difference between achieving stability or remaining in a crisis state.

&nbsp;

What Others Are Saying

&nbsp;

No one can better state the value and joy of being a volunteer like our volunteers themselves! Hear what some of them have to say about pro bono.
https://www.youtube.com/watch?v=Ri6X1GnCZhw

&nbsp;

Making a Difference

&nbsp;

Everyone stands to gain when we work together to meet the civil legal needs of Ohio's low-income residents. By offering assistance, you can help clients preserve their housing, strengthen their economic security, and protect their health and safety. With their legal issues resolved, clients have the energy and the means to achieve self-sufficiency. They have the financial independence and resources to support their local economy.

&nbsp;

Join Now

Take action today to help meet the civil legal needs of Ohioans who may have no where else to turn. Visit the ""Volunteer Opportunities for Attorneys"" page to learn about the many different ways you can get involved.
"
154,http://www.communitylegalaid.org/node/192,Volunteer through our Pro Bono Helpline Program,,,Attorneys / Legal Services,"&nbsp;

Thank you for your interest in the Pro Bono Helpline! Offering “counsel and advice” is cited as the most satisfying form of pro bono service according to the ABA’s Supporting Justice III report.

&nbsp;

Purpose

A Pro Bono Helpline Team Member can make a big impact with just a small amount of time. The convenience of the Helpline Program allows us to assist a larger number of those in need of civil legal services. Team members provide legal advice that allows clients to better navigate the legal system and consider their options. When a matter merits further support, case referrals can be made suggesting the client receive additional services from Community Legal Aid.

&nbsp;

Location/Hours

The Pro Bono Helpline program provides a convenient, flexible way for you to serve by allowing you to work from any location and set your own schedule. Participants may be able to utilize one of our office locations upon request.

&nbsp;

How it Works

As a Pro Bono Helpline Team Member, you tell us when you are available to serve and what areas of law you practice.&nbsp; We will schedule phone appointments with eligible clients according to your volunteer preferences.

&nbsp;

You will receive information concerning your phone consultations in time to perform a conflict check. Then, simply contact the referred clients during your scheduled service time and provide advice.

&nbsp;

After completing your call, you will fill out and submit a Case Summary Form that highlights the advice you gave the client and whether or not you believe the matter merits additional services through Community Legal Aid. You also reserve the option to provide additional services to a Helpline client yourself through our traditional Pro Bono Program.

&nbsp;

Training and resource material are provided as needed.

&nbsp;

Responsibilities/Duties

- Abide by the Rules of Professional Conduct.

- Offer legal advice to client as needed on matters related to designated area of expertise.

- Complete and submit a Case Summary for each client served.

- Refer for additional services as deemed necessary.

&nbsp;

Qualifications

-Registered to practice law in the state of Ohio and be in good standing with the Ohio Supreme Court.

-Intermediate level of knowledge in designated practice area, as case matters may vary in complexity.

-General knowledge of area programs and/or agencies that may be of additional benefit to clients.

&nbsp;

Benefits/Supports

The Pro Bono Helpline Program offers attorneys a flexible, convenient way to serve without requiring a long term, open-ended commitment. This program is eligible for many of the standard support services including:

&nbsp;

- Malpractice coverage

- Free CLE's

- CLE credit for pro bono service (1 CLE credit hour for every six hours served)

- Staff support

&nbsp;

&nbsp;

Get Involved Today

For more information contact Carla Boyle by email at cboyle@communitylegalaid.org or by phone at 330-983-2634.

&nbsp;

Return to Program Opportunities

Be sure to check out all of our pro bono service opportunities. We are sure you will find a program that is right for you!
"
155,http://www.communitylegalaid.org/node/193,Celebrate Pro Bono,,,Attorneys / Legal Services,"The Volunteer Legal Services Program celebrates the Pro Bono involvement of local attorneys throughout the month of October. In 2014, Ohio attorneys donated over 81,000 hours serving the legal needs of low-income members of our community (approximately $11,000,000 worth of services).&nbsp; We think that's worth celebrating!

CLE Opportunities

&nbsp;

A Media Case Study: The Evolving Public Perception of Lawyers and the Legal Profession (link)

Earn professionalism credit as you consider the role of media in forming the public's perception of the legal profession. Discuss the role of professionalism and pro bono service in securing the public trust. This opportunity will be offered in Summit County on Oct 9th, in Stark County on Oct. 23rd, and in Mahoning County on Oct. 26th.&nbsp; Registration available online.

&nbsp;

Jerome L. Holub Pro Bono Bankruptcy Program

Bankruptcy trustees and VLSP staff will overview the basics of bankruptcy and this pro bono project.&nbsp; Hosted by the Akron Bar Association, Thursday, Oct. 22nd. For additional details and to register, visit the Akron Bar Association.

&nbsp;

Child Abuse and Neglect: Recognizing, Reporting and Responding for Mandated Professionals

Become familiar with the reporting requirements when abuse or neglect is suspected. This CLE will will be held at the Summit County Juvenile Court on Oct. 27th and is a free for volunteers and case workers. Register online.

&nbsp;

Service Activities

&nbsp;

Call for Change Campaign

We are inviting area attorneys to join us on October 30th for our ""Day of Service"" pro bono helpline event. Provide legal counsel over the phone to prescreened and income eligible clients. Choose to participate either from your own location or come to one of our offices (Akron, Canton, Youngstown, or Warren).

&nbsp;

Consumer Debt Clinic (Credit Card Clinics)

Help educate defendants being sued for credit card debt. Provide additional assistance in the completion of pro se documents as necessary. To learn more about how you can participate in the program contact Carla Boyle, cboyle@communitylegalaid.org or by phone at 330-983-2634.

Clinic Dates:

Saturday October 3rd- Akron Muni Court 9th floor 9am

Tuesday October 13th - Community Legal Aid Canton office 5.30pm

Thursday October 15th- Portage- Coleman Professional Services -Sue Hetrick Building 6pm.

Friday October 16th- Akron Muni Court 9th floor 2.30pm

Monday October 19th- Barberton Library 5.30pm

Wednesday October 21st- Court Cultural Center Cuyahoga Falls 4.00pm

&nbsp;

Other Clinics

The VLSP regularly holds clinics on a variety of topics including: Estate Planning (wills, powers of attorney, and more); Pro Se Divorce (simple, uncontested divorces without children); Pro Se Custody (agreed custody transfers); and our Peace of Mind (bankrupcy by-pass) Clinic. If you would like to participate in a clinic event, please be sure to contact a member of the VLSP team.

&nbsp;

Special Events

&nbsp;

Pay it Forward - Celebrate Pro Bono Raffle

This one is all about the ""treats."" Be on the lookout as area attorneys share goody bags filled with candy. Our simple way of saying ""thank you"" to the legal profession and generate awareness of pro bono opportunites in our area. Attorneys are invited to enter our ""Celebrate Pro Bono Raffle.""&nbsp; Prize winners will be drawn November 2nd.

&nbsp;

63rd Anniversary Justice for All Gala

Join us October 15th at Tangier Restaurant and Cabaret from 5:30-7:30pm.

&nbsp;

&nbsp;
"
