No,URL,Title,Topic,Tags,"
NSMI-TLT",Body
253,http://www.idaholegalaid.org/node/1458,US District Court for the District of Idaho Bankruptcy Form Index,Bankruptcy,,Bankruptcy,"The majority of these forms are in interactive PDF format which can be filled and printed using Adobe's Acrobat Reader. If you have Adobe Standard or Professional you can additionaly save your filled in form.
"
254,http://www.idaholegalaid.org/node/1459,U.S. District Court for the District of Idaho PRO SE HANDBOOK: The Manual for the Litigant Filing Without Counsel,Bankruptcy,,Bankruptcy,"The United States District Court for the District of Idaho have prepared this handbook specifically for the person who has chosen, for whatever reason, to represent himself/herself as a party to a lawsuit: the pro se litigant. The purpose of this handbook is to provide the pro se litigant with a practical and informative initial resource that will assist in the decision-making process and in the filing of a lawsuit when choosing not to retain the aid of a licensed attorney..."
33,http://www.idaholegalaid.org/node/1068,U.S. Courts District of Idaho's Bankruptcy Resource,"Bankruptcy
Bankruptcy",,Bankruptcy,"U.S. Courts District of Idaho's online recources and information about bankruptcy.
"
34,http://www.idaholegalaid.org/node/1070,U.S. Courts District of Idaho's FAQ about Bankruptcy Court,"Bankruptcy
Bankruptcy",,Bankruptcy,"Bankruptcy facts you should know.
"
35,http://www.idaholegalaid.org/node/1071,Bankruptcy Basics,"Bankruptcy
Bankruptcy",,Bankruptcy,"Bankruptcy Basics provides basic information to debtors, creditors, court personnel, the media, and the general public on different aspects of the federal bankruptcy laws. It also provides individuals who may be considering bankruptcy with a basic explanation of the different chapters under which a bankruptcy case may be filed and to answer some of the most commonly asked questions about the bankruptcy process."
119,http://www.idaholegalaid.org/node/1212,US Courts Information about Bankruptcy,"Bankruptcy
Bankruptcy",,Bankruptcy,"Quiebra Básico proporciona información básica a los deudores, acreedores, personal de los tribunales, los medios de comunicación y el público en general sobre los diferentes aspectos de las leyes federales de bancarrota. En Inglés
"
344,http://www.idaholegalaid.org/node/1794,Answers to Common Bankruptcy Questions,"Bankruptcy
Bankruptcy",,Bankruptcy,"A decision to file for bankruptcy should be made only after determining that bankruptcy is the best way to deal with your financial problems. This brochure can not explain every aspect of the bankruptcy process. If you still have questions after reading it, you should speak with an attorney familiar with bankruptcy..."
345,http://www.idaholegalaid.org/node/1795,Your Legal Rights During and After Bankruptcy,"Bankruptcy
Bankruptcy",,Bankruptcy,"Bankruptcy is a choice that may help if you are facing serious financial problems. You may be able to cancelyour debts, stop collection calls, and get a fresh financial start. Bankruptcy can help with some financialproblems, but does not guarantee you will avoid financial problems in the future. If you choosebankruptcy, you should take advantage of the fresh start it offers and then make careful decisions about future borrowing and credit, so you won’t ever need to file bankruptcy again!..."
346,http://www.idaholegalaid.org/node/1796,Filing for Bankruptcy Without an Attorney,"Bankruptcy
Bankruptcy",,Bankruptcy,"Corporations and partnerships must have an attorney to file a bankruptcy  case. Individuals, however, may represent themselves in bankruptcy  court. While individuals can file a bankruptcy case without an attorney  or ""pro se,"" it is extremely difficult to do it successfully..."
347,http://www.idaholegalaid.org/node/1797,Bankruptcy Pros and Cons by the American Bar Association ,"Bankruptcy
Bankruptcy",,Bankruptcy,"Being in over your head financially is frightening. If you find yourself in this       unhappy position, several kinds of help are available. Bankruptcy is one of the       alternatives for financial distress. You need to examine the options available to you for       dealing with your financial problems and decide which course of action is best for you..."
348,http://www.idaholegalaid.org/node/1798,Should I file for bankruptcy?,"Bankruptcy
Bankruptcy",,Bankruptcy,"Whether to file for bankruptcy is a very  personal decision. Some people find it helpful to file a  bankruptcy case when they  cannot pay their bills and they do not anticipate having the ability to  pay their bills in the near future. Often, people file because their  financial situation is causing them  emotional distress or depression,  or because they would like to free themselves  of debt now, if legally  allowed, and have their income and assets to themselves  in the future.  Also, some people may find that a bankruptcy is worth filing  even if  they do lose some of their assets..."
349,http://www.idaholegalaid.org/node/1799,Bankruptcy Information Sheet,"Bankruptcy
Bankruptcy",,Bankruptcy,Bankruptcy law is federal law.&nbsp; This sheet provides you with general information about what happens in a bankruptcy case.&nbsp; The information here is not compete.&nbsp; You may need legal advice...
350,http://www.idaholegalaid.org/node/1800,Hoja de Información Sobre Bancarrota,"Bankruptcy
Bankruptcy",,Bankruptcy,La ley de bancarrota es una ley federal.&nbsp; Esta hoja proporciona información general sobre lo que sucede en un caso de bancarrota. La información que aparece a continuación no es completa.&nbsp; Es posible que usted necesite obtener asesoramiento legal...
368,http://www.idaholegalaid.org/node/1820,How Chapter 7 Bankruptcy Works,"Bankruptcy
Bankruptcy",,Bankruptcy,"Be forewarned, the following journey through chapter 7 bankruptcy law is a bit technical, so if you are considering filing for chapter 7 bankruptcy, consult a bankruptcy attorney...
"
369,http://www.idaholegalaid.org/node/1821,How Will Bankruptcy Affect My Husband or Wife’s Debts?,"Bankruptcy
Bankruptcy",,Bankruptcy,"One of the most common questions bankruptcy attorney s receive is: ‘How will filing for bankruptcy affect my husband or wife?’ The issue comes up most frequently, when only one spouse is planning to file...
"
