No,URL,Title,Topic,Tags,NSMI-TLT,Body,Attorneys / Legal Services
1,http://www.kansaslegalservices.org/node/2,About Us,Attorneys/Legal Services,,Attorneys / Legal Services,"Overview

Kansas Legal Services, a statewide non-profit corporation, is devoted to helping low&nbsp;income Kansans meet their basic needs through the provision of important legal&nbsp;and mediation services.

KLS strives to erase the causes of poverty and mitigate its effects by helping people&nbsp;achieve and keep up self-sufficiency.

KLS served more than 25,000 persons in all 105 counties last year through&nbsp;two mediation offices and eleven legal services offices across&nbsp;the state.

Kansas Legal Services -&nbsp;2015 Kansas Legal Needs Study

Kansas Legal Services 2015 Annual Report

Brochure on services offered by Kansas Legal Services

History

During the 1920s and 30s, the American Bar Association recognized the need for special&nbsp;assistance to the poor by creating a committee on legal aid. State and local bar&nbsp;associations worked over the following decades to promote legal aid societies to offer&nbsp;free legal services to the poor.

Early legal services supporters accepted that the pledge of ""Equal Justice Under the&nbsp;Law"" cannot be realized as long as people with limited resources do not have access to&nbsp;the justice system.

In the mid-1960s and 70s, legal aid societies were formed in Topeka, Wichita and Kansas City.

From the 1960s until 1974, the three Kansas legal aid societies ran under the authority&nbsp;of the Office of Economic Opportunity, Office of Legal Services. Power for the legal&nbsp;services program was transferred to the newly formed Legal Services Corporation

during 1975.

Through all of these changes in administrative authority and funding, the Kansas legal&nbsp;aid societies continued to supply free legal services to the poor in Kansas.

In 1977, the Kansas City, Topeka and Wichita legal aid societies merged to form&nbsp;Kansas Legal Services, Inc.

Kansas Legal Services now has eleven legal services and two&nbsp;mediation services offices located across the state. It also&nbsp;maintains a wide retainer contract system with assistance from members of the Kansas Bar&nbsp;Association.

Please review our Annual Reports for more details about our programs and activities.

&nbsp;



Left to right: &nbsp;KLS Executive Director, Marilyn Harp, Jim Sandman, Legal Services Corporation President, and Dan Glazier, Executive Director, Legal Aid of Eastern Missouri, on the day that Marilyn Harp became President of the Midwest Project Directors in November, 2014.

&nbsp;

&nbsp;

&nbsp;
",License (Auto & Others)
15,http://www.kansaslegalservices.org/node/39,Civil Legal Assistance,,application,Attorneys / Legal Services,"Get Help

&nbsp;1-800-723-6953

You can apply for assistance to Kansas Legal Services in two ways -- on the phone or by Online Application.

Call toll-free 1-800-723-6953 (Monday through Friday from 7:30 a.m. to 5:45 p.m.) to see if you are eligible for legal assistance. Hablamos Español. Kansas Legal Services provides civil legal advice and representation at no cost or at reduced fees to income eligible individuals. Click here to find out how to prepare for calling our Central Application Line.

Or, instead of calling, you can fill out an Online Application, anytime night or day. After completing and emailing the form, you will be contacted within two business days to determine if you are eligible for services. Click here to fill out an Online Application.



KLS handles cases in the areas of consumer, employment, family, juvenile, health, housing, income maintenance and individual rights law. Please see our complete listing of cases we may be able to take.

&nbsp;

KLS also operates a number of hotlines.



	
		
			
			Elder Law Hotline
			
			
			Lawyer Advice
			
		
		
			
			1-888-353-5337

			For any Kansan over 60.

			&nbsp;
			&nbsp;

			
			
			
			
			Are you only wanting quick, low cost legal advice?&nbsp; This is an option through us as well.&nbsp; At the same toll-free number&nbsp;(1-800-723-6953), we can try to locate an attorney who has the expertise you need, and you may obtain inexpensive, immediate advice by paying $3 per minute.&nbsp;

			You only pay for the time when you are on the line with the attorney.&nbsp; The average Lawyer Advice attorney time in 2013 was 12 minutes, so the average cost for a legal consultation was under $40.&nbsp; This service is provided through our Application Line if we believe you could benefit from this service, and if you agree to take advantage of this program.

			
			&nbsp;
			
		
		
			
			Access to Justice Advice Line
			
			
			Foster Care Helpline
			
		
		
			
			Please obtain this phone number from you local district court clerk.

			This hotline provides special access to district courts and individuals referred to KLS by district courts in pro se (self-represented) and domestic law matters.

			
			&nbsp;
			
			
			1-877-298-2674 or 

			234-8345 in Topeka
			&nbsp;

			The Helpline provides accurate and timely information about the foster care system to foster children, parents and others. 

			
		
		
			
			Children's Advocacy Resource Center
			
			&nbsp;
		
		
			
			1-877-298-2674

			A resource for guardians ad litem, social workers, judges and child advocates. 
			
			&nbsp;
		
	


&nbsp;
",
16,http://www.kansaslegalservices.org/node/40,Civil Legal Assistance (Spanish),,,Attorneys / Legal Services,"Obteniendo Asistencia LegalLos Servicios Legales de Kansas provehen consejo legal civil y representacion sin ningun costo y honorarios reducidos a personas de bajos ingresos. Los Servicios Legales de Kansas atienden casos en las areas de el consumidor, empleo, familia, juvenil, la salud. a lbergue, conservacion de ingresos y ley individual de derechos. Por favor vea nuestra lista completa de los casos con los que lo podemos a yudar. Para ver si usted es elegible para la asistencia legal, por favor llame a nuestra linea directa en todo el estado. 1-800-723-6953 (llamada gratis)Asistencia Para Trabjadadores InmigrantesNuestra oficina puede ayudarle en varios problemas legales, incluso: casos de inmigracion, reclamacion de sueldos, beneficios publicos, educacion, contratos de trabajo, violencia domestica y otros asuntos legales. Si usted es trabajador inmigrante y necesita asistencia legal o sabe de alguna persona que nesesita asistencia, por favor llame a las siguientes personas. Llame a la oficina mas cercana. La llamada es gratis 1-800-479-6520 in Kansas City (Pregunte por Patricia Moreno) 1-800-362-9009 in Garden City (Pregunte por Linda Lobmeier)",
22,http://www.kansaslegalservices.org/node/63,Get Help,Attorneys/Legal Services,,Attorneys / Legal Services,"Getting Legal Assistance &nbsp;&nbsp;

You can apply for legal assistance either by phone 1-800-723-6953&nbsp;or by filling out our Online Application.&nbsp;

Individuals seeking legal assistance should first apply. &nbsp;Our field offices can't answer any questions or give legal advice until they have an application on file.

Call toll-free 1-800-723-6953 (Monday through Friday from 7:30 a.m. to 5:00 p.m.) and talk with an Intake Specialist. &nbsp;You will find out if you are eligible for legal assistance.&nbsp;Kansas Legal Services &nbsp;gives free or low cost civil legal advice and representation for persons whose incomes make them eligible. Click here to find out how to prepare for calling our Central Intake Line.

If you would rather fill out our Online Application, click here. You will be contacted by an Intake Specialist within two business days. &nbsp;He or she will talk with you to figure out if you are eligible for services. &nbsp;You can fill out the Online&nbsp;Application anytime day or night, whenever you can get online.

KLS handles cases in these areas of law: consumer, employment, &nbsp;family, juvenile, health, housing, income maintenance and individual rights law. Please see our complete listing of cases we may be able to take.

Lawyer Advice

Do you only want quick, low cost legal advice?&nbsp; This is an option through us as well.&nbsp; At the same toll-free number&nbsp;(1-800-723-6953), we can try to find an attorney who has the knowledge needed for your issue. Then you may get low cost, immediate advice by paying $3 per minute.&nbsp;

You only pay for the time when you are on the line with the lawyer.&nbsp; The average time a person spent with a lawyer on the phone in 2013 was 12 minutes.This means the average cost for a legal consultation was under $40. The service is provided through our Application Line if two aspects are met:


	If we believe this service would be right for you, and
	If you agree to use this program.


Brochure&nbsp;on services offered by Kansas Legal Services

Self Representation

Kansas Legal Services provides free online legal forms as a service to low income Kansans to solve legal issues on their own. We also was to help busy Kansas courts.

Forms &nbsp;are easy to use, interactive forms that will give you the documents you need for filing or responding to legal actions in Kansas district courts.&nbsp;

Please note, it is always best to talk to a lawyer before moving along in a court case on your own.&nbsp;

Elder Law Hotline

1-888-353-5337

For any Kansan over 60.

Access to Justice Advice Line

Please get this phone number from your local district court clerk. &nbsp;&nbsp;This hotline gives special access to district courts and persons referred to KLS by district courts in pro se (self-represented) and domestic law matters.

Children's Advocacy Resource Center

1-877-298-2674

&nbsp;&nbsp;A resource for guardians ad litem, social workers, judges and child advocates..

Foster Care Helpline

1-877-298-2674 or&nbsp; 234-8345 in Topeka

The Helpline provides up-to-date information about the foster care system to foster children, parents and others.
",LSC Programs
127,http://www.kansaslegalservices.org/node/200,Self Help Information - Pro Se,KLS Documents,,Attorneys / Legal Services,This information is prepared by the Federal District Court for Kansas but contains very useful information if you intend on filing a case in any court without an attorney.Pro Se Guide,
184,http://www.kansaslegalservices.org/node/375,Pro Bono Resources,Pro Bono Resources,"Pro Bono
Pro Bono Resources
volunteer
private attorney",Attorneys / Legal Services,"This page and its resources are meant for &nbsp;attorneys.&nbsp;

If you are needing an attorney, please apply for services HERE&nbsp;or check out our How To Get Help page.


Here are resources for attorneys who want to volunteer for Kansas Legal Services, including the monthly Pro Bono Newsletter, the application to become a volunteer, information about the Elder Law Hotline, and other news that is relevant for pro bono attorneys.

Click here to see the DECEMBER 2016 KLS Pro Bono Newsletter.


Recruiting Kansas attorneys for the ABA project Free legal Answers.org

Learn more by watching this YouTube video:&nbsp;https://www.youtube.com/watch?v=iW1v3hY05CY

Less than 8 minutes will let you learn how you can be involved. Please read more about the program here.


FREE TRAINING AVAILABLE - NOV 9, 2016 - TOPEKA

It is not too late to register for the Kansas Legal Services training on&nbsp;November 9 from 10:00 am to 3:00 pm.&nbsp; The training will be held in Topeka at&nbsp;the Kansas Bar Association and we want to include YOU!

Training topics include family law issues and other issues that impact KLS clients including domestic violence.

CLE credit for 4 hours of training is pending approval.&nbsp; It will be provided free to attorneys who accept pro bono cases from KLS. &nbsp;You can attend all or part of the training.&nbsp;

You can view the training agenda&nbsp;here.&nbsp; Please reply to Cindy VanHoutan (cindyv@klsinc.org) if you want to attend.&nbsp; &nbsp;


My Ties are at the Bar!

Celebrate &nbsp;Pro Bono in Johnson County, honoring pro bono attorneys and the Veterans' Court, from 5 to 7 p.m. on October 25, 2016.

Read more.


A Call to Serve!

Looking for a way to say thank you and give back to Veterans in our community?&nbsp;

In honor of Veterans Day, please consider joining Kansas Legal Services at our Legal Outreach Clinic at the&nbsp;Colmery-O'Neil VA Medical Center in Topeka on&nbsp;November 10th. &nbsp;

Volunteer attorneys can receive CLE credit for training and working with veterans at the all day clinic.&nbsp; This is the 4th year for this event and&nbsp;we need your support&nbsp;&nbsp;to make it the best yet.&nbsp;

Last year, nineteen Veterans were helped with legal issues including advance directives, Driver’s License issues, child support modifications, expungment, and Social Security Disability.

If your calendar will not permit you to stay all day, morning or afternoon sessions are available.

Click here for the CLE Agenda and flier about the event.&nbsp;

To sign up to participate,&nbsp;contact Allison Berndsen at&nbsp;berndsena@klsinc.org&nbsp;or&nbsp;(785) 354-8531.&nbsp; &nbsp;


Heart of America Stand Down for Veterans in Kansas City, November 4

Kansas Legal Services - Kansas City will offer free legal assistance at this important annual event for homeless Veterans. We need volunteer attorneys for this important, annual event.

Help us give a hand up to Veterans!

To volunteer, contact Kim Sharitz, sharitzk@klsinc.org or call 913-621-0200

Read more here.


Habitat for Humanity Clinic for Homeowners

KLS is partnering with Topeka Habitat for Humanity during Celebrate Pro Bono Week to prepare Transfer on Death Deeds for Habitat Homeowners.&nbsp;

This event is&nbsp;October 25th&nbsp;from&nbsp;9:00 am until 2:00 pm&nbsp;at Habitat for Humanity,&nbsp;121 NE Gordon Topeka, KS.

Volunteering for this event will help low-income homeowners, and support two local non-profits organizations, all at the same time!&nbsp;

To sign up to participate,&nbsp;contact Allison Berndsen at&nbsp;berndsena@klsinc.org&nbsp;or&nbsp;(785) 354-8531. &nbsp;&nbsp;


Read the 2016 KLS Private Attorney Involvement (PAI) Plan

The Board of Directors for Kansas Legal Services, Inc. has approved the 2016 Plan, outlining the methods through which KLS will involve private attorneys in efforts to provide civil legal services to low income persons.&nbsp;


KLS&nbsp;Pro Bono&nbsp;Application

Here is an application to sign up for pro bono cases. You can also tell us how many cases and the types of cases you prefer.

KLS&nbsp;Pro Bono&nbsp;application &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;OR&nbsp;Online Application


ATTENTION ONLINE SHOPPERS:

Amazon has announced that it will donate 0.5% of each Amazon purchase to a charity of the online shopper's choice. Kansas Legal Services is an option available to you. Just go to Smile.amazon.com and use the search function to find and select Kansas Legal Services, Inc., as your charity and start supporting KLS today.


&nbsp;

Domestic Violence Handbook for Attorneys

For Attorneys who represent survivors of domestic violence, a handbook from&nbsp;The National Center on Domestic Violence, Trauma &amp; Mental Health:

Representing Domestic Violence Survivors Who Are Experiencing Trauma and Other Mental Health Challenges: A Handbook for Attorneys


Want to Learn More About the Kansas Legal Services Elder Hotline? &nbsp;

The Elder Hotline has been operated for more than 10 years by Kansas Legal Services.&nbsp; It was the 2009 recipient of the Kansas Bar Association Pro Bono Award. More than 60 Kansas lawyers are already volunteering for this program.&nbsp; Want to join them?&nbsp; Want to learn more?

The Kansas Elder Law Hotline receives calls from Kansans over 60 who are seeking legal information about issues in their lives. &nbsp;These seniors are given the opportunity of phoning the Kansas Elder Hotline toll free and the calls are transferred to the attorney ""on shift."" &nbsp; Legal topics run the breadth of general practice experience.&nbsp;

Volunteer attorneys are scheduled for a four hour shift every 2 months.&nbsp; During a typical shift, a lawyer might get three calls.&nbsp; Shifts are scheduled in advance and attorneys can turn down or change a shift, as needed.&nbsp;

If you are interested in volunteering, please fill out the volunteer application at the bottom of the page and return it to Cindy VanHoutan at&nbsp;cindyv@klsinc.org&nbsp;.


KLS Field Office Pro Bono Coordinators &amp; Emails


&nbsp;

&nbsp;
",
190,http://www.kansaslegalservices.org/node/785,Free Legal Forms,Attorneys/Legal Services,"legal forms
self represent
Pro Se
self litigant
free forms",Attorneys / Legal Services,"Kansas Legal Services provides forms as a service to low income Kansans. Forms&nbsp;are easy to use and interactive.

They will ask you easy-to-answer questions and will auto fill documents you need for filing or responding to legal actions in Kansas district courts based on your answers

Please note, it is always wise to talk to a lawyer before proceeding in a court case on your own.&nbsp;Please read our important warning.

Live Chat&nbsp;is right here

Find Live Chat in the righthand corner of this page if you need help filling out your form.&nbsp;Please note: &nbsp;Live Chat&nbsp;does not provide legal advice.

Can't see the button? &nbsp;Enable pop-ups and update your browser then try again!

If you have questions about how to complete the forms when using the interactive interview, you can use our&nbsp;LIVE CHAT&nbsp;option. Just click on the icon in the bottom righthand corner of this page.

Live Chat&nbsp;is generally available Monday through Friday from 8:30 a.m. to 4:30 p.m. You can leave a message if&nbsp;Live Chat&nbsp;is not available. You will receive a reply by email within two business days.

What you need to use these forms

ADOBE FLASH PLAYER:


	In order to use this program to make free legal documents, you will need Adobe Flash&nbsp;player.
	This is very standard software that you can download free.&nbsp;&nbsp;Click here to download.&nbsp;&nbsp;
	If you aren't sure if you have it already, try to download it.&nbsp; The program will let you know if you have the software already.


WORD PROCESSING PROGRAM:


	The interactive court forms download for printing in Rich Text Format (.rtf), which can be opened in any word processing program, such as Microsoft Word.
	If you do not have a word processing program, you can&nbsp;download WordViewer here for free&nbsp;so that you can be sure that your document is easy to read.
	Make sure your computer chooses a word processing program to download the documents or you may get errors or ""gibberish."" &nbsp;


NOTE TO USERS OF CHROME and FIREFOX:&nbsp;


	The backspace button does not work to delete or modify answers in these interactive interviews.&nbsp;



	You must use arrows or your mouse to highlight the information you need to change.&nbsp; Then use the delete key to remove letters, before you can change information.&nbsp;This problem is not experienced in Explorer.


For more help with these free legal forms,&nbsp;visit our&nbsp;Frequently Asked Questions.



FORMS


	
		
			
			Forms are listed below by category.
			
		
	


Family Law/Divorce


	Check out our&nbsp;All about Kansas divorce page.



PLEASE NOTE:&nbsp;&nbsp;When filling out the divorce online forms, make sure all your dates are filled in and valid. Your document may not work without the complete dates.

If you can't get your document, go back and check that the dates are in a valid format and try again.


Divorce Forms


	Divorce (no minor children)&nbsp;&nbsp;Kansas Legal Services
	Divorce (with minor children)&nbsp;&nbsp;Kansas Legal Services
	Child Support&nbsp;Worksheet&nbsp;&nbsp;
	
		Use this Kansas Legal Services interactive form when the combined&nbsp;income of both parents is less than $50,000.
	
	
	Child Support&nbsp;Worksheet&nbsp;from&nbsp;childsupporttools.com, a fee is involved. &nbsp;
	
		Use this resource where Mom and Dad incomes is more than $50,000 combined, for multiple family adjustments (stepchildren, etc.), for Interstate Pay Differential Adjustments (where parents live in different states); for Automatic Income Tax adjustment calculation.
	
	
	Request to Waive Filing Fee&nbsp; Kansas Legal Services
	Parenting Plan


Child Support/Parenting Time


	Check out our&nbsp;child support&nbsp;page&nbsp;and also our&nbsp;Frequently Asked Questions&nbsp;about Child Support.


Child Support&nbsp;Forms


	Child Support&nbsp;Worksheet&nbsp;&nbsp;

	
		Use this Kansas Legal Services interactive form when the combined&nbsp;income of both parents is less than $50,000.
	
	
	Child Support&nbsp;Worksheet&nbsp;from&nbsp;childsupporttools.com, a fee is involved. &nbsp;
	
		Use this resource where Mom and Dad incomes is more than $50,000 combined, for multiple family adjustments (stepchildren, etc.), for Interstate Pay Differential Adjustments (where parents live in different states); for Automatic Income Tax adjustment calculation.
	
	
	&nbsp;&nbsp;INSTRUCTIONS FOR PRO SE MOTION TO ESTABLISH PARENTING TIME
	
		This&nbsp;instruction sheet&nbsp;will help you get a hearing to establish parenting time in your case.
		A hearing cannot be held until your motion has been filed and all the steps have been completed.
	
	
	INSTRUCTIONS FOR PRO SE MOTION TO ENFORCE PARENTING TIME
	
		This&nbsp;instruction sheet&nbsp;will help you get a hearing to enforce the court-ordered parenting time that has been set in your case.
		A hearing cannot be held until your motion has been filed and all the steps have been completed.
	
	
	&nbsp;INSTRUCTIONS FOR PRO SE MOTION TO MODIFY PARENTING TIME
	
		This&nbsp;instruction sheet&nbsp;will help you get a hearing to modify the court-ordered parenting time that has been set in your case.
		A hearing cannot be held until your motion has been filed and all of the steps have been completed.&nbsp;
	
	
	Modification of&nbsp;Child Support&nbsp;motion&nbsp;&nbsp;(Kansas Legal Services Interactive interview form)
	
		Requires that you&nbsp;have completed a&nbsp;Child Support&nbsp;Worksheet BEFORE you begin the interview.
		IF you have already filed a motion for modification of&nbsp;child support&nbsp;without using our interview form and need a final order, those forms are available&nbsp;HERE.
	
	
	Child Support&nbsp;Worksheet&nbsp;and&nbsp;Domestic Relations&nbsp;Affidavit&nbsp;&nbsp;
	
		Use the Kansas Judicial Branch&nbsp;worksheet and schedules when the combined income of both parents is $50,000 or more.
	
	
	Request to Waive Filing Fees&nbsp; Kansas Legal Services
	A Kansas plan to help with back&nbsp;child support!&nbsp;&nbsp;The State of Kansas has a savings plan to help persons offset child support overdue amounts.


Name Change

Name Change Forms


	Affidavit&nbsp;and order for name change&nbsp; Kansas Judicial Council&nbsp;
	Adult Name Change in Kansas&nbsp; Kansas Legal Services
	Request to Waive Filing Fees&nbsp; Kansas Legal Services&nbsp;


Paternity Action


	Check out our&nbsp;Kansas Paternity Action&nbsp;page with helpful information for parents who are unmarried and need court orders to establish parenting time, custody and child support.&nbsp;
	Use these forms to file a paternity action.&nbsp;
	Step-by-step instructions are a part of the forms when you complete them.


Paternity Forms&nbsp;&nbsp;


	Form to File Paternity Action
	Reply to Paternity Action
	Final orders in paternity action (coming soon)


Identity theft


	Check out our&nbsp;Identity Theft&nbsp;page.
	Protect yourself from identity theft&nbsp;-- from the Kansas Attorney General's website, this information will give you helpful tips.


Identity Theft Forms


	Letter to&nbsp;Creditor&nbsp;- Identity Theft&nbsp;&nbsp;

	
		This form is for&nbsp;responding to someone collecting a bill that is in your name, but that you did not authorize.
		You will need a copy of the bill in hand when you start the interview.&nbsp;
		This might be a credit card statement you received that contains charges you didn’t make or authorize.&nbsp; It can be any situation where your credit or identity was used without your permission.
	
	
	Credit Report Dispute Letter&nbsp;&nbsp;
	
		Follow the link in this form to complete an interactive online interview that will allow you to create a letter to send to the credit bureau to give notice of this error.&nbsp;
		IF you are seeking investigation and removal from your credit report of items that are the result of identity theft, you will need a copy of your credit report in hand when you start the interview.&nbsp;
	
	
	Letter to Debt Collector – Identity Theft&nbsp;&nbsp;
	
		When a debt collector is trying to collect a bill that is in your name but you did not authorize, you will need a copy of their letter in hand when you start the interview.
	
	


Code for Care of Children

Code for Care of Children Forms


	Motion for Interested Party Status&nbsp; (Kansas Legal Services)
	Preliminary Matters,
	Commencement of CINC Action,
	Adjudicatory Procedure,
	Dispositional Procedure,&nbsp;
	Post-Dispositional Procedures,
	Termination of Parental Rights,
	Appeals,
	Indian Child Welfare Act Forms&nbsp;(Kansas Judicial Council)
	Request to Waive Filing Fee&nbsp; (Kansas Legal Services)


Expungement of Records

Expungement Form


	Expungement of Criminal Records
	Request to Waive Filing Fee&nbsp; Kansas Legal Services


Federal Income Tax


	File your 2015 federal and state income taxes for free --&nbsp;click here.


Guardian/Conservator

Guardian/Conservator Forms


	Instructions, Petition, and Order Terminating an Adult Guardianship&nbsp;(MS Word Document) &nbsp;Kansas Legal Services&nbsp;
	Guardian's Annual Report and Conservator's Annual Accounting&nbsp; Kansas Judicial Council&nbsp;
	Request to Waive Filing Fee&nbsp; Kansas Legal Services


Protection Orders


	The information on the website of the Kansas Coalition against Sexual and Domestic Violence&nbsp;KCSDV website&nbsp;will provide you with must-know information about Kansas protection orders.

	
		They explain important safety considerations, necessary qualifications, court processes, possible relief, resources and other considerations that you should think about before seeking protection orders.
	
	
	Do You Need a Protection from Abuse Order?
	Las órdenes de protección
	Click&nbsp;here&nbsp;to go to the&nbsp;Kansas Coalition against Sexual and Domestic Violence (KCSDV) website.


Protection Order&nbsp;Forms


	Protection from Abuse form&nbsp; (Kansas Judicial Council)
	Protection from Stalking form&nbsp;(Kansas Judicial Council)


Small Claims Court

Small Claims Court Forms


	Small claims information&nbsp; Kansas Judicial Branch&nbsp;
	Petition, summons, and&nbsp;defendant's claim&nbsp; Kansas Judicial Council
	Request to Waive Filing Fee&nbsp; Kansas Legal Services


State Income Tax


	File state income taxes for free with Kansas E-File
	Learn how to file for&nbsp;Kansas Homestead Tax&nbsp;online.
	
		NOTE: The Kansas Legislature changed the law so that renters are no longer eligible for a Homestead Tax refund.
	
	


Suspended Driver’s License in Kansas

If your driver’s license is suspended, you may be able to apply for a restricted license in Kansas.&nbsp;


	Go here&nbsp;to read more and see if you are eligible to request the restricted license.
	Kansas Legal Services offers an interactive interview to assist Kansans with suspended driver's licenses who want to write a letter to request a restricted license. The law helping those with suspended licenses went into effect July 1, 2013.


Request for Restricted License Form


	Request for Restricted License


Authorization Forms

Authorization Forms


	Employment Authorization Form
	Authorization Form for the Release of Educational Records
	Authorization for Department for Children and Family Services



Learn more about interactive forms

To learn more about the interactive project and what to expect when you use&nbsp;the interactive court forms, visit our Free Legal Forms&nbsp;Frequently Asked Questions. We are continually adding new forms, so please check back if you do not find what you are looking for.


For more information about SELF-REPRESENTATION:&nbsp;


	Please visit the&nbsp;Kansas Judicial Branch self-help website.



DONATE TODAY!

If you find these free legal forms helpful, please consider making a donation to Kansas Legal Services. &nbsp;Donations will ensure continued availability and help to create additional free legal forms. Click on the ""Donate"" button at the bottom of this page.


&nbsp;

These forms are not for commercial use and charging for use&nbsp;of the forms in any way is prohibited.

&nbsp;
",Management & Operations
197,http://www.kansaslegalservices.org/node/809,Online Application,Attorneys/Legal Services,,Attorneys / Legal Services,"We need you to give us some information for us to decide if you are eligible for our legal assistance. &nbsp;&nbsp;

You will be asked a few questions, like the name of the opposing party in your legal issue. The opposing party may be a spouse in a divorce case, a landlord, or a collection agency, anyone with whom you may have a dispute or legal issue.

&nbsp;You will be asked about:


	&nbsp;&nbsp;&nbsp; your household income on a monthly or annual basis (this means everyone in your house, not just you)
	&nbsp;&nbsp;&nbsp; the amount of rent you pay
	&nbsp;&nbsp;&nbsp; any fixed debt payments (like taxes you are paying)
	&nbsp;&nbsp;&nbsp; child support paid by anyone in your household.


The expenses listed above are the only expenses we can consider in figuring your eligibility for free services.&nbsp; If you don't qualify for free services, we will help you learn about other services including services that have a low fee.

We ask you to answer as many questions as you can in the application.&nbsp; Your first and last name require answers.

When you have completed the questions, click the button that says Submit Application. Your information will be sent to a Kansas Legal Services Intake Specialist.

&nbsp;If the phone in your home is not safe for you to use, please give us a&nbsp;safe&nbsp;phone or email address so we can reach you.&nbsp;

We will call you within three to four business days.&nbsp; We will email or call you at the contact information you gave in the application. &nbsp;

We will need to check the information you gave us and tell you about options for you to use to meet your legal problem.

Click here to complete the interview. &nbsp; &nbsp;&nbsp;

&nbsp;

Our Toll Free Number, 1-800-723-6953, operates from 7:30 a.m. to 5:00 p.m., Monday through Friday.&nbsp; You can use our Online Application anytime day or night.

&nbsp;

&nbsp;
",Mental Health
200,http://www.kansaslegalservices.org/node/870,Contacting the KLS Central Intake Line,"Attorneys/Legal Services
KLS Documents
Legal Questions and Answers","Central Intake
application
apply for services",Attorneys / Legal Services,"KLS Central Intake Line

1-800-723-6953

Phones are answered

7:30 a.m. to 5:00 p.m.

Monday through Friday.


Best times to call

If you call before&nbsp;9 a.m.&nbsp;or between&nbsp;12 p.m. and 12:30 p.m., you will have the shortest waiting time.

Before You Call&nbsp;

Is your problem a civil legal problem?&nbsp;Our Central Intake Unit will help you find out if there are free or low cost options for you.


	For example, we have no free service for criminal or traffic issues. &nbsp;
	There is never a cost to call, however, to see what low cost options might be offered for your unique situation.


Don’t wait to call&nbsp;

Many legal problems are made worse when people delay getting help. It is also easier for lawyers to prepare any necessary documents the more time you give them.

Get your documents and facts together before you call

The services on hand vary widely based on each caller's unique situation. The more specific and correct the info you can give, the more we will be able to give the best guidance possible.

Examples of common civil legal problems


	Guardianships;
	Powers of Attorney;
	Wills;
	Orders of Protection;
	Domestic Abuse;
	Landlord/Tenant disputes;
	Contract disputes;
	Debt relief;
	Consumer matters;
	Disability rights;
	Employment rights;
	Problems with public benefits, including Medicaid, Food Stamps, Medicare, SSI, child care, and subsidized housing;
	End of life instructions;
	Garnishments; and&nbsp;
	Evictions.&nbsp;


What to expect

If all&nbsp;Intake Specialists are busy, you may have to hold, or hang up and call back.


	The best time to call Central Intake is early morning.
	
	Please consider filling out our Online Application&nbsp;if you don't have time to wait on hold.&nbsp;Go to Online Application.
	


You will be asked about your income and assets.&nbsp;


	Please be prepared to share all household income and asset data when you call.
	This information will help the Intake Specialist decide what services might be open to you.


Next your&nbsp;Intake Specialist&nbsp;will ask you to&nbsp;describe your problem or question in detail. He or she may ask you questions to gain a better grasp of your situation.

Your&nbsp;Intake Specialist&nbsp;will decide how best to assist you. Depending on your unique case, here’s what you might expect:


	Legal advice over the telephone
	More detailed information sent to you by mail
	Brief service (e.g., filing a form)
	Referral to a staff or volunteer attorney for legal representation.
	Referrals to other services





Get the most from your call

Focus

Call when you won’t be distracted.&nbsp;You will get the most out of the call if the TV is turned off and the children are safely somewhere else so you can focus.

Allow enough time

Your&nbsp;Intake Specialist&nbsp;will give you as much time as your problem requires.

Avoid calling from a cell phone, if possible&nbsp;

If you are cut off, you may have to answer the same questions again.

Have your documents in front of you

Your&nbsp;Intake Specialist&nbsp;cannot give you guidance without complete and true information.

Have a pen and paper handy when you call

Your&nbsp;Intake Specialist&nbsp;may give you instructions over the telephone. It’s a good idea to be able to jot down reminders as you go.

Ask questions and repeat instructions&nbsp;

Don’t hesitate to ask questions and repeat instructions so you will know what to do later.

Follow instructions

Your&nbsp;Intake Specialist&nbsp;may explain how to do something.


	If you don’t follow the instructions as given, it isn’t likely that you will get the outcome you desire.


You may not get the outcome you want.


	Sometimes services are limited, even when help is greatly needed.
	Your Intake Specialist wants to help and will do his or her best to offer options.


►&nbsp;Please be sensitive and respectful if the services in your unique situation might be limited.

1-800-723-6953

&nbsp;

&nbsp;
",Social Security
202,http://www.kansaslegalservices.org/node/931,Pro Bono ,,,Attorneys / Legal Services,Kansas Elder Law Hotline Handbook,
