No,URL,Title,Topic,Tags,NSMI-TLT,Body
3,http://www.lawaccess.org/node/82,Want to Represent Yourself?,,"
",Attorneys / Legal Services,"Do you have a legal problem and wonder whether you could handle it yourself without hiring a lawyer?

There aren't enough free legal services in New Mexico to help everyone who needs help. But you might be able to manage your legal problem without a lawyer.

New Mexico’s legal services programs have created a ""Can I Do It Myself"" interview tool to help you think about whether you could handle your legal problem without a lawyer.

The ""Can I Do It Myself"" interview is geared towards Landlord-Tenant situations, but is not going to teach you about Landlord-Tenant law. There is a separate website&nbsp;with information about Landlord-Tenant law.

The interview helps you think about issues like:


	would you be able to get to court on time,
	are you willing to read information about the legal issues involved,
	how you manage your time,
	how well you can read legal paperwork,
	how well you manage stressful situations


The interview might take about 20 minutes. It will ask about things like:


	How far you got in school,
	How much you use the internet,
	How comfortable you are using the English language.
	Why we ask questions like this … The questions and your answers may point to useful skills that will help you with your legal issue or highlight things that could come up if your problem got to court


At the end of the interview, you will be able to save and print out a summary sheet to help you with your next steps.

We hope you will give this interview a try. We also hope you will give us feedback so we can improve the questions and make the interview useful. &nbsp;All comments and suggestions welcome. You can send your thoughts and comments by email to the project at nmformstesting (at) gmail.com.

IMPORTANT NOTICE

Use of this service does not guarantee that Law Access New Mexico, New Mexico Legal Aid or any other legal services program will be able to accept your case or help you directly. It also does not establish an attorney-client relationship with any attorney working for a New Mexico legal services program.

START THE INTERVIEW: &nbsp;Visit - Can I Do It Myself?

Get legal information about Landlord-Tenant law.

&nbsp;
"
4,http://www.lawaccess.org/node/83,Legal information (I have a question about ...),,,Attorneys / Legal Services,"If you see a word underlined with a dotted line - hold your cursor over the word and you will see a ""plain language"" explanation of a legal term.

What does that ""legal"" word mean""?

Consumer

Domestic Violence

Family Law

Are you under 18 and need legal information?

Housing

Immigration

Seniors

Veterans &amp; the Military

UNDER CONSTRUCTION - more coming soon


Find New Mexico Law
"
11,http://www.lawaccess.org/node/91,Find the laws of New Mexico,New Mexico Laws,,Attorneys / Legal Services,"New Mexico laws (also called ""statutes"") (unofficial site)

New Mexico Administrative Code

You can also find copies of the New Mexico statutes at Justicia.com. Click on the most recent year to view the most up-to-date versions.
"
64,http://www.lawaccess.org/node/150,"Law Day ""Ask-a-Lawyer"" Call-In Program (Statewide)",,,Attorneys / Legal Services,"New Mexico residents can get their legal questions answered free or receive a referral on Saturday, May 2, 9 a.m. to 1 p.m., through the Ask-a-Lawyer Call-in Program sponsored by the State Bar Young Lawyers Division in celebration of Law Day. 

Lawyers will staff the phones in four regions of the state and answer questions on a wide variety of topics including employment law, divorce, child support, landlord/tenant issues, personal injury, estate planning, real estate and more.


Call the following numbers to be connected to the Ask-a-Lawyer Call-in:

Statewide: 1-800-876-6227

Albuquerque: 505-797-6000

Southern New Mexico: 575-437-7310, then dial 0

Roswell: 575-622-5440

Gallup: 505-722-2281
"
66,http://www.lawaccess.org/node/152,DNA- People's Legal Services,,,Attorneys / Legal Services,"Civil Legal Services in San Juan County &amp; Native American Services in Northwestern New Mexico.&nbsp;

Locations:&nbsp;

Crownpoint, New Mexico

The Old Chapter House on Short Pine Road, Crownpoint, NM 87313&nbsp;

Phone number: (505) 786-5277

Farmington, New Mexico

709 N. Butler Ave., Farmington, NM 87401

Phone number: (505) 325-8886

Shiprock, New Mexico

City Market Plaza on Route 491, Shiprock, NM &nbsp;87420

Phone number: (505) 368-3200

&nbsp;

Click here to return to the list of helpful organizations.
"
67,http://www.lawaccess.org/node/153,Law Access New Mexico ,,,Attorneys / Legal Services,"Statewide civil legal telephone helpline for low-income New Mexicans.

Weekdays 8:45 a.m. to 3:45 p.m. Spanish, English, other languages

Locations:

Statewide &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;

Phone Number: (800) 340-9771

Albuquerque

Phone Number: (505) 998-4529

&nbsp;

Click here to return to the list of helpful organizations.&nbsp;
"
68,http://www.lawaccess.org/node/154,New Mexico Legal Aid,,,Attorneys / Legal Services,"Statewide civil legal representation for low-income New Mexicans

Locations

Albuquerque:

301 Gold Ave. SW, Ste. 101, Albuquerque, NM 87102

Phone number: (505) 243-7871

Clovis

400 Pile St., #401, Clovis, NM 88101

Phone umber: (505) 769-2326

Gallup

109 W. Aztec Ave., Gallup, NM 87301

Phone number: (505) 722-4417

Las Vegas

932 Gallinas St., Ste 108, Las Vegas, NM 87701

Phone number: (505) 425-3514

Las Cruces

600 Montana Ave., Las Cruses, NM 88001

Phone number: (505) 541-4800

Roswell

Petroleum Building, 200 W 1st St., Roswell, NM 88203

Phone number: (505) 623-9669

Santa Ana Pueblo

51 Jemez Canyon Dam Rd., Ste 102, Santa Ana Pueblo, NM 87004

Phone number: (505) 867-3391

Santa Fe

901 W. Alameda St., Santa Fe, NM 87501

Phone number: (505) 982-9886

Silver City

301 W. College Ave, #17, Silver City, NM 88061

Phone number: (505) 388-0091

Taos

214 Kit Carson Rd., #C, Taos, NM 87571

Phone number: (505) 758-2218

&nbsp;

Click here to return to the list of helpfu organizations.&nbsp;
"
69,http://www.lawaccess.org/node/155,New Mexico Center on Law & Poverty,,,Attorneys / Legal Services,"Monitors fair &amp; effective administration of public policies, laws &amp; practices aimed at problems of those living in poverty; The New Mexico Center on Law &amp; Poverty does not offer direct representation.&nbsp;

Location:

Albuquerque

924 Park Ave. SW, Albuquerque, NM 87102

Phone number: (505) 255-2840

&nbsp;

Click here to return to the list of helpful organizations.
"
75,http://www.lawaccess.org/node/161,"Advocacy, Inc.",,,Attorneys / Legal Services,"Guardian ad litem services and uncontested kinship guardianships services&nbsp;

Locations:&nbsp;

Statewide:

6301 4th NW, Ste. 3, Albuquerque, NM 87107

Phone number: (866) 376-9625

Albuquerque:

6301 4th NW, Ste. 3, Albuquerque, NM 87107

Phone number: (505) 256-9369

&nbsp;

Click here to return to the list of helpful organizations.
"
78,http://www.lawaccess.org/node/164,Lawyer Referral for the Elderly Program,,,Attorneys / Legal Services,"The legal resources for the elderly program is a free statewide helpline for New Mexico residents age 55 and older. &nbsp;This resource is provided by the New Mexico State Bar and the New Mexico Aging and Long-Term Services Department.&nbsp;

Locations:

Statewide:

5121 Masthead NE, Albuquerque, NM 87109

Phone number: (800) 876-6657

Albuquerque:

5121 Masthead NE, Albuquerque, NM 87109

Phone number: (505) 797-6005

&nbsp;

Click here to return to list of helpful organizations.
"
103,http://www.lawaccess.org/node/189,Albuquerque Bar Association's Lawyer Referral Service,,,Attorneys / Legal Services,"The Albuquerque Bar Association offers an attorney referral service. &nbsp;You can meet with an attorney for 30 minutes at a cost of $50.00 to discuss your legal situation.&nbsp;

Location:

Albuquerque:

201 3rd St. NW, #500, Albuquerque, NM 87102

Phone number: (505) 243-2615

&nbsp;

Click here to return to the list of helpful organizations.&nbsp;
"
104,http://www.lawaccess.org/node/190,Client Attorney Assistance Program (CAAP),,,Attorneys / Legal Services,"The Client Attorney Assistance Program investigates and screens complaints against &nbsp;New Mexico licensed attorneys for referral to other attorneys that can help New Mexicans that have had inadequate representation.&nbsp;

Locations:

Statewide:

5121 Masthead NE, Albuquerque, NM 87109

Phone number: (800) 876-6227

&nbsp;

Click here to return to the list of helpful organizations.
"
105,http://www.lawaccess.org/node/191,New Mexico State Bar Public and Legal Services Referral Program,,,Attorneys / Legal Services,"The New Mexico State Bar General Referral Program assists individuals who need legal help but do not know where to find it. &nbsp;There is a 30 minute legal consultation that comes with the refferal. &nbsp;The referral fee is $35.00.

Locations:

Statewide:

5121 Masthead NE, Albuquerque, NM 87109

Phone number: (505) 797-6066

Toll-free phone number: (800) 876-6227

&nbsp;

Click here to return to the list of helpful organizations.&nbsp;
"
136,http://www.lawaccess.org/node/239,Las Cruces Legal Clinics,,,Attorneys / Legal Services,"Civil Legal Clinics (NO family law; NO criminal law)

Family Law Legal Clinics

Consumer Debt/Bankruptcy
"
141,http://www.lawaccess.org/node/244,Law Access New Mexico Services,,,Attorneys / Legal Services,"Our toll-free helpline is open for new intakes from 8:45am - 11:45am &amp; 12:30pm - 3:45pm M-F.

The phone # to call is 505-998-4529 (Albuquerque) or 1-800-340-9771 (Statewide, toll-free).

We can be reached from anywhere in New Mexico.

If you speak a language other than English or Spanish, we can still help.

All residents of New Mexico are eligible no matter what your immigration status is.

Law Access provides telephone advice, referrals (if possible) and information in civil legal matters such as:


	
		
			
			Divorce, paternity, custody, visitation

			&nbsp;
			
			
			Landlord/Tenant—Evictions, Repairs

			&nbsp;
			
		
		
			
			Consumer problems, such as being sued for a debt, wages being garnished

			&nbsp;
			
			
			Public Benefits, such as Medicaid, Food Stamps, TANF, GA, Social Security disability &amp; retirement

			&nbsp;
			
		
		
			
			Advice for ""pro se"" cases &amp; self-help information

			&nbsp;
			
			
			Sometimes we are able to make referrals to other legal services in NM&nbsp;

			&nbsp;
			
		
	


&nbsp;

We handle all cases over the telephone and do not provide ongoing legal representation or go to court.

A VECES SOLO SE TRATA DE SABER DONDE BUSCAR AYUDA.

Ayuda es para todos los residentes de Nuevo Mexico sin considerar el estado migratorio.

Law Access New Mexico ofrece asesoría legal por teléfono sobre asuntos legales como:

• Divorcio, paternidad, custodia de menores
• Compensación de Desempleo
• Colección de Deudas al consumidor, Embargo
• Arrendador/ Inquilino – Desalojamiento, Reparaciones
• Medicaid, Estampillas de Comida, TANF
• Asesoría Legal de casos “Pro Se” (Donde se representa sin abogado en la corte)
• Instrucciones para ayuda propia
• Recomendaciones a otros servicios legales en NM

Manejamos todos los casos por teléfono. No ofrecemos representación legal en la corte.

&nbsp;

When calling the helpline, callers meeting low-income &amp; residency criteria receive help in one of two ways:

(1) Law Access lawyers will give immediate information and advice to the caller on the phone,

and

(2) if possible, they will refer the caller to one of the many cooperating agencies to provide more ""in-depth"" help with that particular problem and then follow up to make sure the caller got the help they needed.
"
142,http://www.lawaccess.org/node/245,Law Access New Mexico Board of Directors,,,Attorneys / Legal Services,"
	
		
			Board President
			Kathryn Wissel, Esq.
		
		
			Board Vice-President
			Diana Matier
		
		
			Board Treasurer
			Andrew S Coon
		
		
			Board Secretary
			Katie Snapp
		
	


&nbsp;

Other Board Members:


	Adam Flores, Esq.
	Heather Harrigan
	Martin Holland, Esq.
	Gina Maestas, Esq.
	Sophie Martin, Esq.
	Jan E Schuetz
	Repps D Stanford, Esq.
	William Strouse

"
143,http://www.lawaccess.org/node/246,Bernalillo Legal Clinic,,,Attorneys / Legal Services,"Civil Legal Clinic (1st Wednesday of the month at the Courthouse):

A legal clinic is held on the first Wednesday of each month from 10:00am to 2:00pm, first-come, first-served.
The clinic is held at the Thirteenth Judicial District Court for Sandoval County, 1500 Idalia Rd., Bldg A, Bernalillo NM 87004
Contact 505-867-2376 for more information
"
144,http://www.lawaccess.org/node/247,Los Lunas Legal Clinic,,,Attorneys / Legal Services,"Civil Legal Clinic (2nd Thursday of the month at the Courthouse)

A legal clinic is held on the second Thursday of each month from 10:00am to 2:00pm, first-come, first-served.
The clinic is held at the Thirteenth Judicial District Court for Valencia County, 1835 Hwy 314 SW, Los Lunas NM 87031
Contact 505-865-4639 for more information
"
