No,URL,Title,Topic,Tags,NSMI-TLT,Body
20,http://www.tals.org/node/167,Legal Aid Services in Tennessee,Attorneys/Legal Services,,Attorneys / Legal Services,"A number of agencies in Tennessee provide legal help for low-income persons. The first step to finding help is to call the legal aid program in your area. The legal aid programs have lawyers who work with citizens. Mostly, legal aid helps people who have low income. Legal aid will sometimes help people who are not low-income, but are abused or over age 60.
You can locate the legal aid office in your area by going to the Directory on this website. You may also go directly to the website of the legal aid programs in Tennessee. The following programs receive federal funding through the Legal Services Corporation (LSC) and handle legal issues within their geographic service areas:

Legal Aid of East Tennessee: www.laet.org
Legal Aid Society of Middle Tennessee and the Cumberlands: www.las.org
West Tennessee Legal Services: www.wtls.org
Memphis Area Legal Services: www.malsi.org
"
21,http://www.tals.org/node/168,Southern Migrant Legal Services,Attorneys/Legal Services,,Attorneys / Legal Services,Southern Migrant Legal Services is federally-funded and handles the legal needs of migrant and seasonal workers statewide:
22,http://www.tals.org/node/169,Pro Bono Assistance in Memphis,Attorneys/Legal Services,,Attorneys / Legal Services,"The Community Legal Center offers thousands of lower income individuals and families in the Memphis area an affordable way to get legal assistance.&nbsp; With over 100 volunteer lawyers and mediators, CLC offers people of limited means in Memphis and Shelby County access to legal services for as little as $5, $10, or $15."
23,http://www.tals.org/node/170,Southeast Tennessee Legal Services,Attorneys/Legal Services,,Attorneys / Legal Services,"Southeast Tennessee Legal Services (STLS) is a Project of Texas RioGrande Legal Aid, Inc. STLS is a public interest law firm seeking justice and opportunity for Tennesseans. STLS operates as a nonprofit legal organization receiving private contributions as well as federal and&nbsp; state funds. STLS gives advice and also may file lawsuits in state and federal courts. Their programs are for the victims of domestic violence and some consumer cases.
Through their In-Person Services, they represent clients in 11 Tennessee counties: Hamilton, Bledsoe, Bradley, Marion, McMinn, Meigs, Monroe, Polk, Rhea and Sequatchie Counties. These include divorces and orders of protection in Hamilton County and orders of protection in the other counties."
24,http://www.tals.org/node/171,Tennessee Justice Center,Attorneys/Legal Services,,Attorneys / Legal Services,"The Tennessee Justice Center is a non-profit, public interest law and advocacy firm serving families in need. TJC gives priority to policy issues and civil cases in which the most basic necessities of life are at stake, and where their advocacy can benefit families statewide. TJC works to empower their clients by holding government accountable for its policies and actions. TJC serves over 300&nbsp;clients per year and advocates for systemic improvements that affect all 1.3 million TennCare enrollees.
&nbsp;
Do you have a question about TennCare? Or do you need help with TennCare? Read here.&nbsp;
Interested in being involved in upcoming events and news at TJC?&nbsp;Visit&nbsp;here.&nbsp;
Interested in interning at TJC? Go here&nbsp;and read about the TJC staff.
Who are&nbsp;TJC's clients? Read more about clients&nbsp;TJC has helped here.
Want to know what's happening with TJC right now? Visit the TJC facebook page for daily updates. 
&nbsp;"
25,http://www.tals.org/node/172,Disability Law & Advocacy Center of Tennessee,Attorneys/Legal Services,,Attorneys / Legal Services,"Disability Law &amp; Advocacy Center of Tennessee (DLAC) advocates for the rights of Tennesseans with disabilities to ensure that they have an equal opportunity to be productive and respected members of our society. Please explore&nbsp;DLAC's website for further information about how they may be able to help you, a friend or a family member. There website provides information about the services&nbsp;DLAC provides and also gives information about other resources that may be valuable in your quest for information."
45,http://www.tals.org/node/215,Tennessee Bar Foundation,Attorneys/Legal Services,,Attorneys / Legal Services,"The Tennessee Bar Foundation is an organization of attorneys from across the state, active since 1982. The Foundation has a three-fold purpose. First, the purpose is to honor attorneys who have distinguished themselves in the profession by electing them to membership as ""Fellows;"" second, to use the contributions of these Fellows to support selected, law-related public interest projects; and, lastly, to administer Tennessee's IOLTA (Interest On Lawyers' Trust Accounts) program."
56,http://www.tals.org/node/266,Lawyer Locator from LexisNexis,Attorneys/Legal Services,,Attorneys / Legal Services,"LawyerLocator.com is part of LexisNexis® Martindale-Hubbell®, which has been helping people connect to lawyers since 1868. Lawyer Locator is one of the most trusted sources of information in and about the legal profession. Whether you need a DUI lawyer, bankruptcy attorney,&nbsp;car accident attorney, or a medical malpractice lawyer, LawyerLocator.com takes the guesswork out of finding a lawyer."
57,http://www.tals.org/node/267,My Firm Manager from LexisNexis,Attorneys/Legal Services,,Attorneys / Legal Services,My Firm Manager is a division of LexisNexis® that supplies web-based software for lawyers. This secure practice management application keeps lawyers and their practice organized and on-task at all times.
85,http://www.tals.org/node/332,Justice for All,Attorneys/Legal Services,,Attorneys / Legal Services,"This website is a project of the Tennessee Supreme Court.
The Tennessee Supreme Court hopes that everyone will get help from a lawyer for their legal questions. The best thing you can do if you have a legal problem is to talk with a lawyer. But the Court realizes that sometimes people cannot get help from a lawyer because they cannot afford one or they decide they want to represent themselves.&nbsp; Because of this, the Court created www.justiceforalltn.com. Most of the information on the website is for people who cannot afford a lawyer and need legal help in civil cases (cases that do not have to do with a crime). You can use the website to find a lawyer to help you with all or part of your case, to find an agency to help you with your legal problems, or find information to help you understand what you need to do to represent yourself."
